epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,120.041,2.50914,5.27945,14.7382,0.04737,5.73762,0.00149,0.0307,0.00304,0.00095,0.001,0.01915,0.00192,0.00058,2.40965,7.76386,7.34004,0.04679,0,0.00032967,0.00032967,0.0673626
2,217.529,2.19937,4.30379,6.36142,0.03682,3.81279,0.27435,0.0451,0.0208,0.00719,0.27411,0.04102,0.01969,0.00763,2.17031,4.34975,5.7511,0.04325,0,0.000661691,0.000661691,0.0343613
3,314.01,2.15747,3.96637,5.41361,0.03601,1.4779,0.41365,0.03401,0.03462,0.01213,0.41191,0.03132,0.03028,0.01172,2.26002,3.78598,5.21685,0.04683,0,0.000992392,0.000992392,0.00135869
4,410.302,2.18856,3.73571,5.06515,0.03724,0.19639,0.46692,0.039,0.05324,0.02148,0.46795,0.03255,0.03961,0.01728,2.22534,3.46071,4.8451,0.04247,0,0.00099406,0.00099406,0.00099406
5,506.172,2.23996,3.61117,4.77669,0.03769,0.14584,0.3836,0.08894,0.07917,0.03362,0.38481,0.09015,0.07307,0.03596,2.11553,3.31356,4.62775,0.04157,0,0.00099208,0.00099208,0.00099208
6,602.053,2.15104,3.548,4.38626,0.03397,0.14246,0.42792,0.10546,0.11219,0.05774,0.42743,0.10444,0.10603,0.05339,1.96815,3.42762,4.43777,0.03736,0,0.0009901,0.0009901,0.0009901
7,698.021,2.17968,3.40915,4.24298,0.03802,0.1376,0.4178,0.13345,0.11977,0.06059,0.40758,0.12234,0.11052,0.05242,2.05794,3.12812,4.18063,0.03955,0,0.00098812,0.00098812,0.00098812
8,794.052,2.1171,3.26957,3.82347,0.03505,0.1358,0.42803,0.15141,0.15343,0.07246,0.42252,0.14381,0.14709,0.06491,2.08632,3.0512,3.91763,0.04271,0,0.00098614,0.00098614,0.00098614
9,889.906,2.03668,3.10019,3.78274,0.03284,0.13456,0.42364,0.20142,0.18157,0.09787,0.41405,0.19339,0.16659,0.07941,2.04033,3.02592,3.64484,0.03765,0,0.00098416,0.00098416,0.00098416
10,985.737,2.04144,3.07563,3.7075,0.03294,0.13056,0.37095,0.19083,0.16619,0.08278,0.36862,0.18366,0.15794,0.07581,2.01586,3.14242,3.72934,0.0373,0,0.00098218,0.00098218,0.00098218
11,1081.29,1.99098,3.14414,3.62394,0.03179,0.12795,0.50787,0.19212,0.17236,0.09459,0.4984,0.17408,0.16223,0.08055,1.9785,3.05948,3.658,0.03603,0,0.0009802,0.0009802,0.0009802
12,1176.61,1.96342,3.09114,3.57262,0.03137,0.13062,0.4362,0.19973,0.18954,0.10159,0.42959,0.19759,0.18676,0.09323,2.05367,2.91973,3.50928,0.0403,0,0.00097822,0.00097822,0.00097822
13,1272.67,1.92514,2.97869,3.33334,0.03082,0.12725,0.42635,0.21055,0.19862,0.10794,0.42213,0.21486,0.18892,0.09641,1.93114,3.01296,3.66696,0.03523,0,0.00097624,0.00097624,0.00097624
14,1368.47,1.92323,2.90812,3.32908,0.03099,0.12583,0.43914,0.20465,0.22125,0.12733,0.43072,0.20404,0.22348,0.10963,1.97802,2.77062,3.24659,0.03545,0,0.00097426,0.00097426,0.00097426
15,1464.42,1.91797,2.81448,3.13539,0.03102,0.11983,0.3794,0.2605,0.23903,0.12929,0.37047,0.25238,0.23031,0.11965,1.92194,2.77217,3.61946,0.03517,0,0.00097228,0.00097228,0.00097228
